Timestamp,اسم المنتج,اسم المنتج بالإنجليزية,اسم الشركة الأم,سبب المقاطعة\الدليل؟,نوع المنتج,اسماء لبدائل للمنتج ده (كل بديل على سطر)
,,Alasdekaa,,,,
,,Pristine,,,,
,,Anchor,,,,
,,Lurpak,,,,
,,Prima,,,,
,,Hopla,,,,
,,Mafaza,,,,
,,The Milkman,,,,
,,Hulala,,,,
,,Bahcivan,,,,
,,Swiss Choice,,,,
,,Good Earth,,,,
,,Violife,,,,
,,The Bakery Bee,,,,
,,Seoudi,,,,
,,Halwani,,,,
,,Kraft,,,,
,,Saluti,,,,
,,La Vache Qui rit,,,,
,,Philadelphia,,,,
,,Queen,,,,
,,Abu El-Walad,,,,
,,Aroy-D,,,,
,,Cheesa,,,,
,,Haloub Al Missalia,,,,
,,Al Sharq,,,,
,,Avanti,,,,
,,Ezbetna,,,,
,,Mainz,,,,
,,Nido,,,,
,,Obour Land,,,,
,,El Balad,,,,
,,Teama,,,,
,,Green Land,,,,
,,Panda,,,,
,,Crystal,,,,
,,Dopella,,,,
,,Gran Cucina,,,,
,,ILE De France,,,,
,,Yopolis,,,,
,,Puck,,,,
,,Old El Paso,,,,
,,Luna,,,,
,,Bjorg,,,,
,,Oiko,,,,
,,Pam,,,,
,,Vitariz,,,,
,,Arkan,,,,
,,Rebelz,,,,
,,Delimore,,,,
,,Silo Foods,,,,
,,Reefy,,,,
,,Food House,,,,
,,Gro,,,,
,,Omelette,,,,
